Date (UTC),Time (UTC),Rocket Type,Launch Site,Latitude,Longitude,Operator (ISO-2),Outcome,Launchsite Operator
1969-07-26,02:06,Delta M,Cape Canaveral LC-17A,28.46675,-80.55852,US,Failure,US
1969-07-31,10:19,Thorad-SLV2G-Agena-D,Vandenberg SLC-1W,34.77204,-120.60124,US,Successful,US
1969-08-06,05:40,Tsyklon-2,Baikonur Site 90/19,45.95515,63.35028,SU,Successful,KZ
1969-08-07,23:48,Proton-K/Blok D,Baikonur Site 81/23,45.95515,63.35028,SU,Successful,KZ
1969-08-09,07:52,Delta N,Cape Canaveral LC-17A,28.46675,-80.55852,US,Successful,US
1969-08-12,11:01,Atlas SLV-3C Centaur-D,Cape Canaveral LC-36A,28.46675,-80.55852,US,Successful,US
1969-08-13,22:00,Kosmos-3M,Plesetsk Site 132/2,62.92556,40.57778,SU,Successful,RU
1969-08-16,11:59,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-08-19,13:00,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-08-22,14:14,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-08-23,16:00,Titan IIIB,Vandenberg SLC-4W,34.77204,-120.60124,US,Successful,US
1969-08-27,21:59,Delta L,Cape Canaveral LC-17A,28.46675,-80.55852,US,Failure,US
1969-08-29,09:05,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-09-02,11:00,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-09-15,08:40,R-36O,Baikonur Site 191/66,45.95515,63.35028,SU,Successful,KZ
1969-09-18,08:40,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-09-22,02:10,Lambda 4S,Kagoshima L (Uchinoura),31.25186,131.07914,JP,Failure,JP
1969-09-22,21:11,Thorad-SLV2G-Agena-D,Vandenberg SLC-3W,34.77204,-120.60124,US,Successful,US
1969-09-23,14:07,Proton-K/Blok D,Baikonur Site 81/24,45.95515,63.35028,SU,Failure,KZ
1969-09-24,12:15,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-09-30,13:40,Thorad-SLV2G-Agena-D,Vandenberg SLC-3W,34.77204,-120.60124,US,Successful,US
1969-10-01,22:29,Scout-B,Vandenberg SLC-5,34.77204,-120.60124,US,Partial failure,US
1969-10-06,01:45,Vostok-2M,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-10-11,11:10,Soyuz,Baikonur LC-31/6,45.95515,63.35028,SU,Partial failure,KZ
1969-10-12,10:44,Soyuz,Baikonur LC-1/5,45.95515,63.35028,SU,Partial failure,KZ
1969-10-13,10:19,Soyuz,Baikonur LC-31/6,45.95515,63.35028,SU,Partial failure,KZ
1969-10-14,13:19,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-10-17,11:45,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-10-18,10:00,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-10-21,12:49,Kosmos-3M,Plesetsk Site 132,62.92556,40.57778,SU,Successful,RU
1969-10-22,14:09,Proton-K/Blok D,Baikonur Site 81/24,45.95515,63.35028,SU,Failure,KZ
1969-10-24,09:40,Voskhod,Baikonur Site 1/5,45.95515,63.35028,SU,Successful,KZ
1969-10-24,13:01,Kosmos-2I,Kapustin Yar Site 86/4,48.57807,46.25420,SU,Successful,RU
1969-10-24,18:10,Titan IIIB,Vandenberg SLC-4W,34.77204,-120.60124,US,Successful,US
1969-11-04,11:59,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-11-08,01:52,Scout-B,Vandenberg SLC-5,34.77204,-120.60124,US,Successful,US
1969-11-12,11:30,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-11-14,16:22,Saturn V,KSC LC-39A,28.60820,-80.60400,US,Successful,US
1969-11-15,08:30,Voskhod,Baikonur Site 31/6,45.95515,63.35028,SU,Successful,KZ
1969-11-22,02:00,Delta M,Cape Canaveral LC-17A,28.46675,-80.55852,US,Successful,US
1969-11-24,11:00,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-11-24,16:49,Kosmos-3M,Plesetsk Site 132,62.92556,40.57778,SU,Successful,RU
1969-11-28,09:00,Proton-K/Blok D,Baikonur Site 81/23,45.95515,63.35028,SU,Failure,KZ
1969-12-03,13:20,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-12-04,21:37,Thorad-SLV2H-Agena-D,Vandenberg SLC-3W,34.77204,-120.60124,US,Successful,US
1969-12-11,12:58,Kosmos-2I,Plesetsk Site 133/1,62.92556,40.57778,SU,Successful,RU
1969-12-20,03:26,Kosmos-3M,Plesetsk Site 132,62.92556,40.57778,SU,Successful,RU
1969-12-23,09:25,Tsyklon-2,Baikonur Site 90/19,45.95515,63.35028,SU,Successful,KZ
1969-12-23,13:50,Voskhod,Plesetsk Site 41/1,62.92556,40.57778,SU,Successful,RU
1969-12-25,09:59,Kosmos-2I,Kapustin Yar Site 86/4,48.57807,46.25420,SU,Successful,KZ
1969-12-27,,Kosmos-3M,Plesetsk Site 132,62.92556,40.57778,SU,Failure,RU
